090000,133000
143,125,413,101,102,392
095828,1.74,5,1.74,1.74,-
110557,1.76,10,1.75,1.76,-
110736,1.81,1,1.80,1.81,-
110741,1.81,9,1.81,-,-
110757,1.82,10,1.80,1.82,-
110832,1.82,50,1.81,1.82,-
111032,1.82,10,1.80,1.82,-
111720,1.79,12,1.77,1.79,-
113438,1.79,4,1.77,1.79,-
113946,1.79,5,1.79,1.80,-
121119,1.80,9,1.79,1.80,-
121911,1.79,4,1.77,1.79,-
121911,1.79,1,1.77,1.79,-
122235,1.80,5,1.79,1.80,-
122839,1.79,10,1.77,1.79,-
124959,1.77,10,1.77,-,-
125909,1.78,10,1.76,1.78,-
125909,1.78,38,1.76,1.78,-
131725,1.77,5,1.77,1.79,-
