090000,133000
143,125,413,101,102,392
092026,0.08,499,-,-,-
092050,0.08,499,-,-,-
092212,0.08,20,-,-,-
092911,0.09,10,-,-,-
100434,0.09,12,-,-,-
112418,0.09,10,-,-,-
120021,0.08,205,-,-,-
120237,0.08,10,-,-,-
121245,0.08,1,-,-,-
121300,0.08,1,-,-,-
122257,0.08,100,-,-,-
124536,0.08,250,-,-,-
125808,0.08,155,-,-,-
125844,0.08,499,-,-,-
125844,0.08,120,-,-,-
125856,0.08,180,0.08,-,-
130137,0.08,160,0.08,-,-
130539,0.08,105,0.08,-,-
131301,0.08,5,0.08,-,-
131931,0.08,80,0.08,-,-
132353,0.08,30,0.08,-,-
132435,0.07,1,0.08,0.09,-
133000,0.08,26,0.08,0.09,-
