090000,133000
143,125,413,101,102,392
092930,11.02,184,-,-,-
093125,11.02,5,-,-,-
093441,11.02,5,-,-,-
102305,11.01,14,-,-,-
102310,11.01,1,11.00,11.01,-
103649,11.00,30,11.00,11.01,-
104346,11.01,1,11.00,11.01,-
105424,11.00,1,11.00,11.01,-
105539,11.00,22,11.00,11.01,-
112211,11.00,7,11.00,11.01,-
112342,11.00,1,11.00,11.01,-
112432,11.00,1,11.00,11.01,-
113650,11.00,10,11.00,11.01,-
114127,11.00,19,11.00,11.01,-
114327,11.00,12,11.00,11.01,-
114959,11.00,1,11.00,11.01,-
115220,11.00,20,11.00,11.01,-
115902,11.00,10,11.00,11.01,-
120132,11.00,10,11.00,11.01,-
120714,11.00,1,11.00,11.00,-
121045,11.00,2,11.00,11.01,-
121436,11.00,2,10.99,11.00,-
123928,11.00,6,10.99,11.00,-
124314,11.00,1,10.99,11.00,-
124434,11.00,4,10.99,11.00,-
124439,10.99,8,10.99,11.00,-
124454,11.00,10,10.99,11.00,-
124736,11.00,1,11.00,11.01,-
125738,11.00,58,11.00,11.01,-
125743,11.00,1,11.00,11.01,-
125748,11.00,1,11.00,11.01,-
125753,11.00,1,11.00,11.01,-
125758,11.00,1,11.00,11.01,-
125803,11.00,1,11.00,11.01,-
125808,11.00,1,11.00,11.01,-
125814,11.00,1,11.00,11.01,-
125819,11.00,1,11.00,11.01,-
125824,11.00,1,11.00,11.01,-
125829,11.00,1,11.00,11.01,-
125834,11.00,1,11.00,11.01,-
125839,11.00,1,11.00,11.01,-
125844,11.00,1,11.00,11.01,-
125849,11.00,1,11.00,11.01,-
125854,11.00,1,11.00,11.01,-
125904,11.00,3,11.00,11.01,-
125914,11.00,2,11.00,11.01,-
125919,11.00,1,11.00,11.01,-
125924,11.00,1,11.00,11.01,-
125934,11.00,2,11.00,11.01,-
130054,10.99,1,11.00,11.01,-
130129,11.00,1,11.00,11.01,-
130134,11.00,1,11.00,11.01,-
130139,11.00,1,11.00,11.01,-
130144,11.00,1,11.00,11.01,-
130149,11.00,1,11.00,11.01,-
130154,11.00,1,11.00,11.01,-
130204,11.00,2,11.00,11.01,-
130440,11.00,6,11.00,11.01,-
130445,11.00,1,11.00,11.01,-
130455,11.00,2,11.00,11.01,-
130500,11.00,1,11.00,11.01,-
130515,11.00,3,11.00,11.01,-
130520,11.00,1,11.00,11.01,-
130525,11.00,1,11.00,11.01,-
130535,11.00,2,11.00,11.01,-
130545,11.00,2,11.00,11.01,-
130550,11.00,1,11.00,11.01,-
130600,11.00,12,11.00,11.01,-
130605,11.00,1,11.00,11.01,-
130610,11.00,1,11.00,11.01,-
130615,11.00,2,11.00,11.01,-
130630,11.00,6,11.00,11.01,-
130645,11.00,6,11.00,11.01,-
130700,11.00,6,11.00,11.01,-
130711,11.00,4,11.00,11.01,-
130716,11.00,2,11.00,11.01,-
130721,11.00,2,11.00,11.01,-
130731,11.00,4,11.00,11.01,-
130746,11.00,6,11.00,11.01,-
130756,11.00,4,11.00,11.01,-
130801,11.00,2,11.00,11.01,-
130806,11.00,2,11.00,11.01,-
130811,11.00,2,11.00,11.01,-
130826,11.00,6,11.00,11.01,-
130831,11.00,2,11.00,11.01,-
130846,11.00,4,11.00,11.01,-
130856,11.00,2,11.00,11.01,-
130901,11.00,1,11.00,11.01,-
130911,11.00,2,11.00,11.01,-
130921,11.00,2,11.00,11.01,-
130931,11.00,2,11.00,11.01,-
131714,10.99,11,11.00,11.00,-
131759,11.00,2,11.00,11.00,-
131814,10.99,100,11.00,11.00,-
131929,10.99,10,11.00,11.00,-
131949,10.99,41,10.98,10.99,-
131954,10.99,10,10.98,10.99,-
132009,10.99,30,10.98,10.99,-
132014,10.99,9,10.98,10.99,-
132410,10.98,13,10.99,11.00,-
